cust_id,cust_name,region,segment,industry,customer_since,behaviour_cohort,account_owner,is_internal
C0049,Lee PLC,AMER,Enterprise,Financial Services,2020-01-15,shelfware,A. Rivera,False
C0050,White-Ford,EMEA,Enterprise,Technology,2023-11-15,healthy,B. Chen,False
C0051,Ramos PLC,AMER,Mid-Market,Manufacturing,2016-11-17,healthy,C. Okafor,False
C0052,"Kidd, Huff and Novak",AMER,Enterprise,Manufacturing,2024-05-03,healthy,D. Novak,False
C0053,Martin Group,AMER,Enterprise,Retail,2020-05-01,spike_drop,E. Haddad,False
C0054,Barrera-Martin,AMER,Mid-Market,Retail,2016-01-08,healthy,F. Lindqvist,False
C0055,Baker-Bowers,EMEA,Enterprise,Healthcare,2020-02-05,overage,A. Rivera,False
C0056,Horton-Cross,AMER,Mid-Market,Technology,2023-01-19,healthy,B. Chen,False
C0057,"Higgins, Moore and Phillips",JAPAC,Enterprise,Technology,2024-09-20,healthy,C. Okafor,False
C0058,"Fitzgerald, Brown and Edwards",AMER,Enterprise,Public Sector,2016-06-13,healthy,D. Novak,False
C0059,Shaw-Farrell,EMEA,Mid-Market,Healthcare,2017-06-01,overage,E. Haddad,False
C0060,"Miller, Lopez and Larson",AMER,Mid-Market,Healthcare,2022-01-29,healthy,F. Lindqvist,False
C0061,Powell PLC,AMER,Enterprise,Public Sector,2018-03-20,overage,A. Rivera,False
C0062,"Williams, Miller and Sandoval",AMER,Enterprise,Healthcare,2021-02-01,shelfware,B. Chen,False
C0063,Donovan-Harris,APAC,Enterprise,Manufacturing,2022-06-12,shelfware,C. Okafor,False
C0064,Baker and Sons,AMER,Enterprise,Public Sector,2022-01-17,healthy,D. Novak,False
C0065,Bryant-Hickman,EMEA,Mid-Market,Financial Services,2024-06-03,healthy,E. Haddad,False
C0066,Ellis PLC,EMEA,Mid-Market,Healthcare,2024-12-19,overage,F. Lindqvist,False
C0067,Medina PLC,JAPAC,Enterprise,Healthcare,2018-05-21,healthy,A. Rivera,False
C0068,Ibarra-Suarez,APAC,Mid-Market,Manufacturing,2019-04-30,healthy,B. Chen,False
C0069,Kim PLC,AMER,Mid-Market,Technology,2022-05-02,healthy,C. Okafor,False
C0070,"Riggs, Roman and Rice",AMER,Mid-Market,Public Sector,2022-01-04,overage,D. Novak,False
C0071,"Evans, Alvarado and Mcmillan",EMEA,Enterprise,Financial Services,2017-03-17,spike_drop,E. Haddad,False
C0072,Preston Ltd,AMER,Enterprise,Public Sector,2020-12-23,healthy,F. Lindqvist,False
C0073,INTERNAL — Demo Sandbox,AMER,Enterprise,Manufacturing,2019-02-01,healthy,A. Rivera,True
C0074,"Walters, Baker and Freeman",EMEA,Enterprise,Telecom,2024-02-24,healthy,B. Chen,False
C0075,Williams-Cook,EMEA,Enterprise,Financial Services,2017-03-06,healthy,C. Okafor,False
C0076,Martin-Ramos,AMER,Mid-Market,Manufacturing,2022-05-09,healthy,D. Novak,False
C0077,"Smith, Jones and Ware",EMEA,Mid-Market,Manufacturing,2024-02-20,overage,E. Haddad,False
C0078,"Johnson, Wood and Tran",AMER,Enterprise,Technology,2019-11-14,healthy,F. Lindqvist,False
C0079,Parker Inc,APAC,Mid-Market,Financial Services,2024-02-03,healthy,A. Rivera,False
C0080,Fleming Ltd,APAC,Enterprise,Retail,2016-12-03,healthy,B. Chen,False
C0081,"Henson, Russell and Oliver",EMEA,Enterprise,Energy,2017-05-23,healthy,C. Okafor,False
C0082,Hancock and Sons,JAPAC,Mid-Market,Retail,2023-12-08,overage,D. Novak,False
C0083,White LLC,APAC,Mid-Market,Manufacturing,2023-01-16,overage,E. Haddad,False
C0084,Pham-Shields,APAC,Enterprise,Technology,2023-04-19,healthy,F. Lindqvist,False
C0085,Moore-Haynes,APAC,Enterprise,Retail,2019-06-11,healthy,A. Rivera,False
C0086,Garrison and Sons,AMER,Mid-Market,Healthcare,2017-10-18,spike_drop,B. Chen,False
C0087,Bailey-Hoover,AMER,Enterprise,Telecom,2023-11-04,healthy,C. Okafor,False
C0088,Johnson and Sons,AMER,Mid-Market,Telecom,2019-08-03,healthy,D. Novak,False
C0089,Lin-Rasmussen,AMER,Mid-Market,Retail,2018-07-06,shelfware,E. Haddad,False
C0090,"Hicks, Frazier and Anthony",AMER,Mid-Market,Energy,2018-12-24,healthy,F. Lindqvist,False
C0091,Wilson LLC,AMER,Mid-Market,Public Sector,2017-08-10,healthy,A. Rivera,False
C0092,INTERNAL — SE Sandbox,AMER,Enterprise,Technology,2019-02-10,shelfware,B. Chen,True
C0093,Graham-Joyce,JAPAC,Enterprise,Public Sector,2017-01-15,overage,C. Okafor,False
C0094,"Lee, Williams and Graham",AMER,Mid-Market,Public Sector,2020-09-05,overage,D. Novak,False
C0095,"Mcdaniel, Bentley and Mclaughlin",AMER,Mid-Market,Technology,2017-10-09,healthy,E. Haddad,False
C0096,Jones-Beck,EMEA,Enterprise,Healthcare,2018-12-21,healthy,F. Lindqvist,False
C0097,Alvarado-Martinez,AMER,Mid-Market,Public Sector,2024-02-07,healthy,A. Rivera,False
C0098,"Parker, Ortiz and Powell",AMER,Enterprise,Retail,2018-08-30,spike_drop,B. Chen,False
C0099,Lee Ltd,AMER,Enterprise,Technology,2024-06-18,shelfware,C. Okafor,False
C0100,"Adkins, Thompson and Carroll",EMEA,Mid-Market,Healthcare,2019-08-28,healthy,D. Novak,False
