entitlement_id,cust_id,product_id,units_purchased,licensed_amount,start_date,end_date,contract_type,currency,fx_rate_to_usd,is_unlimited
E00105,C0100,P0081,100,4800.0,2025-01-01,2025-12-31,Renewal,EUR,1.09,False
E00106,C0035,P0051,2500,60000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00107,C0005,P0104,50,6000.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00108,C0083,P0243,100,4800.0,2024-12-01,2025-11-30,New,EUR,1.09,False
E00109,C0014,P0367,25,3000.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00110,C0010,P0386,100,12000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00111,C0094,P0210,1000,120000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00112,C0017,P0227,500,12000.0,2025-08-01,2026-07-31,Renewal,GBP,1.27,False
E00113,C0090,P0162,25,3000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00114,C0070,P0389,1000,12000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00115,C0073,P0030,50,2400.0,2025-10-01,2026-09-30,New,EUR,1.09,False
E00116,C0046,P0161,250,12000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00117,C0059,P0229,50,1200.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00118,C0053,P0455,2500,300000.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00119,C0016,P0172,25,3000.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00120,C0096,P0277,50,2400.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00121,C0068,P0388,250,6000.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00122,C0040,P0397,250,12000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00123,C0077,P0431,25,1200.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00124,C0031,P0388,500,6000.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00125,C0056,P0121,10,240.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00126,C0029,P0267,50,1200.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00127,C0029,P0185,100,12000.0,2025-08-01,2026-07-31,New,EUR,1.09,False
E00128,C0075,P0042,1000,12000.0,2025-11-01,2026-10-31,New,EUR,1.09,False
E00129,C0079,P0040,2500,120000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00130,C0006,P0300,1000,120000.0,2025-06-01,2026-05-31,Renewal,EUR,1.09,False
E00131,C0100,P0214,2500,60000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00132,C0093,P0067,2500,30000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00133,C0010,P0081,2500,120000.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00134,C0027,P0190,1000,48000.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00135,C0019,P0192,25,1200.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00136,C0095,P0302,50,6000.0,2024-12-01,2025-11-30,New,USD,1.0,False
E00137,C0035,P0420,250,30000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00138,C0003,P0023,500,60000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00139,C0017,P0401,2500,300000.0,2025-04-01,2026-03-31,Renewal,EUR,1.09,False
E00140,C0095,P0259,50,6000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00141,C0029,P0373,2500,120000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00142,C0019,P0461,1000,120000.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00143,C0038,P0331,2500,30000.0,2024-12-01,2025-05-01,Renewal,USD,1.0,False
E00144,C0097,P0408,10,480.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00145,C0086,P0317,25,300.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00146,C0069,P0258,100,1200.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00147,C0077,P0141,50,1200.0,2025-08-01,2026-07-31,New,GBP,1.27,False
E00148,C0080,P0274,2500,120000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00149,C0071,P0012,2500,120000.0,2024-12-01,2025-11-30,New,EUR,1.09,False
E00150,C0080,P0163,10,1200.0,2025-06-01,2026-05-31,New,EUR,1.09,False
E00151,C0050,P0147,25,600.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00152,C0030,P0209,50,1200.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00153,C0032,P0030,50,2400.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00154,C0011,P0166,50,2400.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00155,C0004,P0386,10,240.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00156,C0055,P0138,1000,12000.0,2025-08-01,2026-07-31,New,GBP,1.27,False
E00157,C0015,P0015,1000,120000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00158,C0006,P0301,250,3000.0,2024-12-01,2025-11-30,New,USD,1.0,False
E00159,C0095,P0209,50,6000.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00160,C0080,P0073,100,4800.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00161,C0031,P0217,100,12000.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00162,C0099,P0086,250,3000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00163,C0067,P0430,250,30000.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00164,C0051,P0262,100,4800.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00165,C0075,P0203,25,300.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00166,C0064,P0108,250,12000.0,2025-11-01,2026-10-31,Renewal,EUR,1.09,False
E00167,C0061,P0363,250,30000.0,2025-05-01,2026-04-30,New,GBP,1.27,False
E00168,C0068,P0236,500,24000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00169,C0072,P0002,50,6000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00170,C0087,P0459,50,6000.0,2024-12-01,2025-11-30,Renewal,USD,1.0,False
E00171,C0048,P0333,25,300.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00172,C0041,P0181,2500,300000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00173,C0041,P0394,1000,12000.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00174,C0049,P0114,100,1200.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00175,C0070,P0418,500,24000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00176,C0099,P0496,100,4800.0,2025-03-01,2026-02-28,New,GBP,1.27,False
E00177,C0048,P0421,100,12000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00178,C0013,P0100,2500,60000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00179,C0010,P0478,25,600.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00180,C0058,P0348,250,3000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00181,C0067,P0453,250,30000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00182,C0010,P0166,10,1200.0,2025-06-01,2025-11-01,Renewal,EUR,1.09,False
E00183,C0042,P0266,250,30000.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00184,C0034,P0115,10,120.0,2025-08-01,2026-07-31,New,EUR,1.09,False
E00185,C0062,P0201,2500,60000.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00186,C0007,P0116,10,1200.0,2025-09-01,2026-08-31,Renewal,GBP,1.27,False
E00187,C0087,P0160,100,1200.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00188,C0089,P0414,10,120.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00189,C0072,P0127,500,6000.0,2025-10-01,2026-09-30,Renewal,EUR,1.09,False
E00190,C0084,P0267,10,240.0,2025-05-01,2026-04-30,Renewal,EUR,1.09,False
E00191,C0098,P0321,2500,300000.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00192,C0099,P0194,10,480.0,2025-01-01,2025-12-31,Renewal,EUR,1.09,False
E00193,C0057,P0032,25,3000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00194,C0087,P0347,1000,12000.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00195,C0044,P0317,1000,120000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00196,C0094,P0238,10,1200.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00197,C0027,P0481,25,300.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00198,C0040,P0007,100,1200.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00199,C0089,P0132,50,2400.0,2025-03-01,2026-02-28,New,USD,1.0,False
E00200,C0099,P0071,2500,30000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00201,C0027,P0334,1000,48000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00202,C0100,P0159,50,2400.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00203,C0038,P0260,50,600.0,2024-12-01,2025-11-30,New,USD,1.0,False
E00204,C0044,P0104,100,1200.0,2025-03-01,2025-08-01,New,USD,1.0,False
E00205,C0037,P0240,2500,120000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00206,C0013,P0215,500,24000.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00207,C0066,P0472,10,120.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00208,C0002,P0110,100,2400.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00209,C0057,P0095,1000,12000.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00210,C0058,P0059,500,12000.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00211,C0088,P0016,500,12000.0,2025-03-01,2026-02-28,New,USD,1.0,False
E00212,C0028,P0369,100,2400.0,2025-02-01,2026-01-31,New,EUR,1.09,False
E00213,C0053,P0012,100,2400.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00214,C0009,P0071,10,1200.0,2025-01-01,2025-12-31,Renewal,EUR,1.09,False
E00215,C0027,P0157,500,60000.0,2025-01-01,2025-12-31,New,GBP,1.27,False
E00216,C0027,P0410,50,6000.0,2025-05-01,2026-04-30,Renewal,GBP,1.27,False
E00217,C0084,P0474,25,600.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00218,C0009,P0163,1000,120000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00219,C0031,P0301,10,240.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00220,C0018,P0028,50,2400.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00221,C0047,P0042,2500,300000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00222,C0094,P0199,25,1200.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00223,C0043,P0192,50,6000.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00224,C0066,P0206,2500,30000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00225,C0045,P0203,2500,60000.0,2025-03-01,2026-02-28,New,EUR,1.09,False
E00226,C0065,P0192,50,2400.0,2025-06-01,2026-05-31,Renewal,GBP,1.27,False
E00227,C0057,P0266,25,1200.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00228,C0007,P0173,2500,300000.0,2024-12-01,2025-11-30,Renewal,USD,1.0,False
E00229,C0015,P0255,1000,48000.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00230,C0009,P0136,50,600.0,2024-12-01,2025-11-30,New,USD,1.0,False
E00231,C0078,P0263,250,3000.0,2025-01-01,2025-12-31,Renewal,EUR,1.09,False
E00232,C0019,P0185,25,300.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00233,C0026,P0129,100,4800.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00234,C0034,P0310,250,6000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00235,C0056,P0154,250,12000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00236,C0053,P0388,1000,12000.0,2025-06-01,2026-05-31,Renewal,EUR,1.09,False
E00237,C0058,P0117,50,1200.0,2025-08-01,2026-07-31,Renewal,EUR,1.09,False
E00238,C0033,P0301,2500,300000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00239,C0016,P0161,500,12000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00240,C0097,P0231,1000,12000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00241,C0017,P0378,50,600.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00242,C0044,P0215,500,60000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00243,C0006,P0012,250,3000.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00244,C0071,P0410,500,60000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00245,C0005,P0198,1000,24000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00246,C0098,P0156,2500,30000.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00247,C0009,P0353,50,6000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00248,C0044,P0198,25,1200.0,2025-03-01,2026-02-28,New,EUR,1.09,False
E00249,C0073,P0189,25,300.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00250,C0081,P0057,1000,24000.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00251,C0093,P0463,25,600.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00252,C0074,P0364,250,30000.0,2025-03-01,2026-02-28,New,USD,1.0,False
E00253,C0043,P0258,250,30000.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00254,C0042,P0423,50,6000.0,2024-12-01,2025-11-30,Renewal,USD,1.0,False
E00255,C0043,P0451,500,60000.0,2025-03-01,2026-02-28,Renewal,EUR,1.09,False
E00256,C0015,P0148,10,1200.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00257,C0031,P0422,250,6000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00258,C0078,P0467,1000,24000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00259,C0026,P0023,1000,24000.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00260,C0006,P0276,250,12000.0,2025-02-01,2025-07-01,Renewal,EUR,1.09,False
E00261,C0048,P0211,100,1200.0,2025-01-01,2025-12-31,Renewal,EUR,1.09,False
E00262,C0070,P0400,25,1200.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00263,C0098,P0023,250,30000.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00264,C0061,P0382,2500,300000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00265,C0069,P0059,10,240.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00266,C0047,P0035,2500,30000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00267,C0056,P0421,2500,120000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00268,C0086,P0091,10,480.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00269,C0066,P0344,1000,12000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00270,C0040,P0111,2500,30000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00271,C0021,P0025,100,1200.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00272,C0069,P0003,2500,30000.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00273,C0055,P0123,100,2400.0,2025-03-01,2026-02-28,New,USD,1.0,False
E00274,C0058,P0173,10,240.0,2025-06-01,2026-05-31,Renewal,GBP,1.27,False
E00275,C0034,P0050,100,2400.0,2025-01-01,2025-12-31,Renewal,GBP,1.27,False
E00276,C0063,P0418,1000,48000.0,2024-12-01,2025-11-30,New,USD,1.0,False
E00277,C0021,P0479,100,12000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00278,C0029,P0183,100,,2025-01-01,2025-12-31,New,USD,1.0,True
E00279,C0058,P0109,500,60000.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00280,C0069,P0189,250,3000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00281,C0049,P0307,1000,120000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00282,C0007,P0049,50,2400.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00283,C0021,P0498,1000,24000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00284,C0015,P0342,500,60000.0,2025-10-01,2026-09-30,New,GBP,1.27,False
E00285,C0096,P0328,2500,60000.0,2024-12-01,2025-11-30,Renewal,USD,1.0,False
E00286,C0075,P0316,10,120.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00287,C0068,P0318,1000,12000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00288,C0018,P0078,2500,300000.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00289,C0084,P0307,100,12000.0,2024-12-01,2025-11-30,Renewal,GBP,1.27,False
E00290,C0016,P0330,50,600.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00291,C0031,P0118,250,12000.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00292,C0063,P0341,10,240.0,2025-03-01,2026-02-28,Renewal,EUR,1.09,False
E00293,C0004,P0196,100,4800.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00294,C0012,P0252,10,120.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00295,C0024,P0065,50,600.0,2024-12-01,2025-05-01,New,GBP,1.27,False
E00296,C0074,P0041,100,12000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00297,C0050,P0126,50,6000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00298,C0027,P0230,250,6000.0,2025-03-01,2026-02-28,New,USD,1.0,False
E00299,C0095,P0185,25,3000.0,2025-07-01,2026-06-30,New,GBP,1.27,False
E00300,C0039,P0313,2500,300000.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00301,C0076,P0219,10,120.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
